id,student_id,date,type,reason,description,amount,balance_after,ref_lesson_id,ref_homework_id,ref_item
1,1,2026-02-03,penalty,absent_unexcused,Sababsiz qoldirdi,-5,0,1,,
2,1,2026-02-05,earn,attendance,Darsga o'z vaqtida keldi,10,10,2,,
3,1,2026-02-05,earn,activity,Darsdagi faollik / to'g'ri javob,15,25,2,,
4,1,2026-02-07,earn,attendance,Darsga o'z vaqtida keldi,10,35,3,,
5,1,2026-02-09,earn,homework,Uy vazifasi (56 ball),16,51,,3,
6,1,2026-02-07,earn,activity,Darsdagi faollik / to'g'ri javob,5,56,3,,
7,1,2026-02-10,earn,attendance,Darsga o'z vaqtida keldi,10,66,4,,
8,1,2026-02-13,earn,homework,Uy vazifasi (80 ball),20,86,,4,
9,1,2026-02-12,earn,attendance,Darsga o'z vaqtida keldi,10,96,5,,
10,1,2026-02-14,earn,homework,Uy vazifasi (63 ball),12,108,,5,
11,1,2026-02-14,earn,attendance,Darsga o'z vaqtida keldi,10,118,6,,
12,1,2026-02-14,earn,activity,Darsdagi faollik / to'g'ri javob,5,123,6,,
13,1,2026-02-17,earn,attendance,Darsga o'z vaqtida keldi,10,133,7,,
14,1,2026-02-22,earn,homework,Uy vazifasi (51 ball),7,140,,7,
15,1,2026-02-17,earn,activity,Darsdagi faollik / to'g'ri javob,10,150,7,,
16,1,2026-02-19,earn,attendance,Darsga o'z vaqtida keldi,10,160,8,,
17,1,2026-02-20,earn,homework,Uy vazifasi (73 ball),10,170,,8,
18,1,2026-02-21,earn,attendance,Darsga o'z vaqtida keldi,10,180,9,,
19,1,2026-02-23,earn,homework,Uy vazifasi (86 ball),17,197,,9,
20,1,2026-02-24,earn,attendance,Darsga o'z vaqtida keldi,10,207,10,,
21,1,2026-02-26,earn,attendance,Darsga o'z vaqtida keldi,10,217,11,,
22,1,2026-02-26,earn,streak_bonus,10 ta ketma-ket dars — bonus,50,267,11,,
23,1,2026-02-28,earn,homework,Uy vazifasi (74 ball),18,285,,11,
24,1,2026-02-28,earn,attendance,Darsga o'z vaqtida keldi,10,295,12,,
25,1,2026-03-03,earn,attendance,Darsga o'z vaqtida keldi,10,305,13,,
26,1,2026-03-03,earn,homework,Uy vazifasi (78 ball),15,320,,12,
27,1,2026-03-05,earn,attendance,Darsga o'z vaqtida keldi,10,330,14,,
28,1,2026-03-12,earn,homework,Uy vazifasi (46 ball),5,335,,13,
29,1,2026-03-07,earn,attendance,Darsga o'z vaqtida keldi,10,345,15,,
30,1,2026-03-09,earn,homework,Uy vazifasi (56 ball),8,353,,14,
31,1,2026-03-10,earn,attendance,Darsga o'z vaqtida keldi,10,363,16,,
32,1,2026-03-10,earn,homework,Uy vazifasi (64 ball),12,375,,15,
33,1,2026-03-12,earn,attendance,Darsga o'z vaqtida keldi,10,385,17,,
